Application_ID,Application_Date,Sanction_Date,Disbursal_Date,Borrower_Name,Age,Gender,Marital_Status,Dependents,PAN,Aadhaar,Mobile,Email,Property_City,Property_State,Property_Pincode,Employment_Type,Employer_Name,Years_With_Employer,Monthly_Income_Stated,Annual_Income_Stated,Actual_Bank_Credit_Monthly,ITR_Income_Last_FY,ITR_Income_Prev_FY,Form16_Available,Loan_Purpose,Property_Type,Market_Value_INR,Loan_Amount_INR,LTV_Ratio,Down_Payment_INR,Down_Payment_Source,Tenure_Years,Interest_Rate_pct,EMI_INR,FOIR,Existing_Monthly_EMI,Co_Applicant,Co_Applicant_Name,Co_Applicant_Annual_Income,CIBIL_Score,Num_Credit_Enquiries_Last_30D,Prev_Loan_Bank,Prev_Default_History,Valuation_Agency,Legal_Opinion,CERSAI_Checked,RERA_Registered,Title_Chain_Clear,EC_Years_Verified,Disbursement_Mode,Broker_Involved,Broker_DSA_Name,First_EMI_Status,DPD_Bucket_Current,Loan_Status,NPA_Date,Fraud_Type,Fraud_Label_01,Anomaly_Notes,Email_Name_Mismatch,Signature_Mismatch,ID_Docs_Altered,Salary_Round_Figure_Flag,PF_Deduction_Missing,Salary_Credited_From_Personal_Acct,ITR_Filed_Just_Before_Application,Month_End_Fund_Parking,Valuation_Inflation_Flag,OC_CC_Available,Disbursement_To_NonSeller_Flag,Legal_Opinion_TAT_Hours,Bank_Statement_Tampered,PDF_Metadata_Anomaly,Borrower_Unreachable,AML_Flag,Loan_Foreclosed_Within_6M,PEP_Involved,Overseas_Wire_Transfer_Detected
HL201909611,08-03-2019,23-03-2019,04-04-2019,Seema Kapoor,38.0,Male,Single,1.0,VZRLG6642N,6611 1999 4951,+91 8204385195,seema.kapoor@outlook.com,Agra,Uttar Pradesh,542004.0,Salaried,Zomato,12.0,74015,888180.0,77263.0,899796.0,840376.0,Yes,Purchase,Row House,22426826,15698778,0.7,6728048,Sale of Asset,17,11.74,178015,2.41,2591,No,,0.0,791.0,2,PNB,1 DPD,Empanelled Valuer B,Clear,Yes,Yes,Partial,24.0,NEFT to Seller,No,,Paid,0,NPA,,CLEAN,0,,0,No,No,No,No,No,No,No,No,Yes,No,36,No,No,No,No,No,No,No
HL201506090,05-01-2015,12-01-2015,22-01-2015,Girish Yadav,34.0,Male,Married,0.0,RYQCC5667X,2607 1803 8538,+91 7818140475,girish_yadav@outlook.com,Thane,Maharashtra,389882.0,Self-Employed Business,Self,20.0,153387,1840644.0,138913.0,1847288.0,1604472.0,,Extension,Villa,6405497,4868177,0.76,1537320,Own Savings,26,11.4,48801,0.32,19936,No,,0.0,778.0,2,BOB,,Third Party Valuer,Conditional Clear,Post-Sanction Only,Not Applicable,Yes,10.0,NEFT to Seller,Yes,DSA/Desai Associates,Paid,0,Active,,CLEAN,0,,0,No,No,No,No,No,No,No,No,Yes,No,57,No,No,No,No,No,No,No
HL200704504,04-10-2007,15-10-2007,22-10-2007,Vandana Naidu,54.0,Female,Divorced,1.0,ETEEG1759B,4109 8827 2320,+91 8877541627,vnaidu400@hotmail.com,Agra,Uttar Pradesh,,Government,Reliance Industries,18.0,40943,491316.0,40811.0,539921.0,397098.0,No,Repair/Renovation,Flat/Apartment,16641315,12148159,0.73,4493156,Third Party,5,10.22,259429,6.34,5025,Yes,Girish Malhotra,560424.0,789.0,0,IndusInd Bank,2+ DPD,Collusive Valuer,Clear,Yes,Not Applicable,Partial,12.0,NEFT to Builder,No,,Paid,90+,Closed,,CLEAN,0,,0,No,No,No,No,No,Yes,No,No,Yes,No,69,No,No,No,No,No,No,No
HL200805642,13-06-2008,23-06-2008,02-07-2008,Ashok Rao,51.0,Male,Married,3.0,TZMAN3684X,7378 9944 2480,+91 9229592781,ashok11@rediffmail.com,Kolkata,West Bengal,355050.0,Salaried,Reliance Industries,3.0,68224,818688.0,67632.0,802181.0,658379.0,Yes,Extension,Plot+Construction,6267957,3823453,0.61,2444504,Family Gift,11,10.24,48389,0.71,4312,No,,0.0,795.0,2,ICICI Bank,,Empanelled Valuer A,Clear,Post-Sanction Only,Not Applicable,Yes,30.0,NEFT to Builder,Yes,DSA/Das Associates,Paid,0,Active,,CLEAN,0,,0,No,No,No,No,No,No,No,No,Yes,No,114,Yes,No,No,No,No,No,No
HL201009068,16-10-2010,25-10-2010,13-11-2010,Deepak Sinha,47.0,Male,Married,2.0,BFEFX9594L,3097 5247 2581,+91 9256338652,deepak_sinha575@hotmail.com,Vadodara,Gujarat,212653.0,Self-Employed Business,Self,7.0,265053,3180636.0,240694.0,3395458.0,2429409.0,,Balance Transfer,Flat/Apartment,12853262,10282609,0.8,2570653,Own Savings,30,9.34,85263,0.32,21075,No,,0.0,765.0,1,Kotak Bank,,Empanelled Valuer B,Clear,No,Yes,Partial,11.0,NEFT to Seller,Yes,DSA/Jain Associates,Paid,0,Restructured,,CLEAN,0,,0,No,No,No,No,No,No,No,No,Yes,No,25,No,No,No,No,No,No,No
HL201401920,22-08-2014,29-08-2014,06-09-2014,Ashok Pillai,49.0,Male,Married,2.0,FUGTG3721X,3611 7160 7201,+91 8748471447,ashok.pillai@hotmail.com,Agra,Uttar Pradesh,167981.0,Salaried,Swiggy,2.0,151819,1821828.0,145268.0,1723495.0,1485782.0,Yes,Purchase,Plot+Construction,23462314,16658242,0.71,6804072,Family Gift,20,9.2,152027,1.0,14622,No,,0.0,711.0,0,Kotak Bank,,Empanelled Valuer A,Clear,Yes,Yes,Yes,28.0,NEFT to Builder,Yes,DSA/Khanna Associates,Paid,31-60,Closed,,CLEAN,0,,0,No,No,No,No,Yes,No,No,No,Yes,No,92,No,No,No,No,No,No,No
HL202307376,03-04-2023,27-04-2023,08-05-2023,Pooja Verma,41.0,Male,Single,1.0,EUYPW3085Z,9925 9139 7813,+91 8639946048,poojaverma@rediffmail.com,Nagpur,Maharashtra,571982.0,Salaried,Tech Mahindra,,177928,2135136.0,173586.0,,1666281.0,Yes,Balance Transfer,Plot+Construction,23235551,18123729,0.78,5111822,Third Party,29,10.0,159937,0.9,8467,Yes,Mohan Agarwal,297924.0,737.0,1,PNB,,Empanelled Valuer B,Clear,Yes,Yes,Yes,16.0,NEFT to Builder,Yes,DSA/Desai Associates,Paid,0,Closed,,CLEAN,0,,0,No,No,No,No,No,No,No,No,Yes,No,59,No,No,No,No,No,No,No
HL201402190,19-10-2014,05-11-2014,12-11-2014,Mahesh Nair,32.0,,Single,4.0,QSJNO3274I,4568 2883 2761,+91 8432544410,mnair@rediffmail.com,Delhi,Delhi,659754.0,Salaried,,10.0,223345,2680140.0,210762.0,2805217.0,2038394.0,Yes,Construction,Villa,8341847,5839292,0.7,2502555,Sale of Asset,13,7.88,59933,0.27,15647,No,,0.0,731.0,0,HDFC Bank,,Empanelled Valuer A,Conditional Clear,No,No,Yes,29.0,NEFT to Builder,Yes,DSA/Tripathi Associates,Paid,31-60,Active,,CLEAN,0,,0,No,No,No,No,No,No,No,No,Yes,No,117,No,No,No,No,No,No,No
HL201807046,03-04-2018,01-05-2018,14-05-2018,Savita Srivastava,59.0,,Married,0.0,OLSOL6486G,2383 6280 9247,+91 9260298973,savitasrivastava@rediffmail.com,Noida,Uttar Pradesh,655049.0,Salaried,Axis Bank,15.0,229177,2750124.0,223766.0,2649800.0,2726202.0,Yes,Balance Transfer,Plot+Construction,16018700,9611220,0.6,6407480,Sale of Asset,20,10.46,95698,0.86,17686,No,,0.0,,1,SBI,1 DPD,Third Party Valuer,Clear,Post-Sanction Only,Yes,Yes,16.0,Cheque,Yes,DSA/Bansal Associates,Delayed,0,Active,,CLEAN,0,,0,No,No,No,No,No,No,No,No,Yes,No,101,No,No,No,No,No,No,No
HL201208577,05-02-2012,20-02-2012,11-03-2012,Nirmala Shah,42.0,Female,Married,3.0,SEDOG5388R,8792 6984 9161,+91 8667181938,,Thane,Maharashtra,460661.0,Self-Employed Professional,Self,18.0,186355,2236260.0,195178.0,,1991024.0,,Purchase,Flat/Apartment,17278791,12440729,0.72,4838062,Unknown,8,7.75,174293,0.89,27586,Yes,Vinod Malhotra,808716.0,720.0,1,Axis Bank,2+ DPD,Third Party Valuer,Clear,Yes,Not Applicable,Yes,24.0,NEFT to Seller,Yes,DSA/Singh Associates,Paid,0,Active,,CLEAN,0,,0,No,No,No,No,No,No,No,No,Yes,No,29,No,No,No,No,No,No,No
HL202407709,19-04-2024,11-05-2024,29-05-2024,Sudha Shukla,31.0,Male,Single,4.0,JPIAV5023A,6852 1566 4593,+91 9234333451,sudhashukla@hotmail.com,Ludhiana,Punjab,517755.0,Self-Employed Professional,Self,11.0,83452,1001424.0,73149.0,910637.0,868444.0,,Balance Transfer,Plot+Construction,6292150,4907877,0.78,1384273,Family Gift,6,9.53,89763,1.08,2521,No,,0.0,705.0,3,ICICI Bank,,Collusive Valuer,Clear,Yes,Yes,Yes,22.0,NEFT to Builder,No,,Bounced,0,Closed,,CLEAN,0,,0,No,No,No,No,No,No,No,No,Yes,No,116,No,No,No,No,No,No,No
HL201507912,25-06-2015,20-07-2015,01-08-2015,Naresh Pillai,45.0,Male,Single,4.0,JZTOQ3079I,6935 7322 9406,+91 7596632881,nareshpillai@gmail.com,Kolkata,West Bengal,177023.0,Salaried,BPCL,3.0,118698,1424376.0,115045.0,1489847.0,1334754.0,Yes,Repair/Renovation,Plot+Construction,7683421,5916234,0.77,1767187,Own Savings,21,7.83,47905,0.4,9743,No,,0.0,719.0,0,PNB,2+ DPD,Collusive Valuer,Conditional Clear,Yes,Not Applicable,Yes,30.0,NEFT to Builder,No,,Paid,0,Closed,,CLEAN,0,,0,No,No,No,No,No,No,No,No,Yes,No,65,No,No,No,No,No,No,No
HL201508824,16-01-2015,03-02-2015,08-02-2015,Asha Pillai,58.0,Female,Married,0.0,RKQJE8640I,9353 1284 8416,+91 9615768596,asha_pillai@yahoo.com,Pune,Maharashtra,497680.0,Salaried,Coal India,11.0,83717,1004604.0,71542.0,1090644.0,880962.0,Yes,Extension,Independent House,16109222,9826625,0.61,6282597,Own Savings,6,9.0,177130,2.12,11853,Yes,Rohit Jain,,800.0,2,IndusInd Bank,,Empanelled Valuer B,Minor Observations,Post-Sanction Only,Not Applicable,Partial,14.0,Cheque,Yes,DSA/Chatterjee Associates,Paid,0,Active,,CLEAN,0,,0,No,No,No,No,No,Yes,No,No,Yes,No,119,No,No,No,No,No,No,No
HL202102451,27-11-2021,08-12-2021,22-12-2021,Vinod Pillai,47.0,Female,Married,4.0,AWQVU8292E,4173 4630 1360,+91 9076981843,vinod.pillai@hotmail.com,Pune,Maharashtra,619622.0,Self-Employed Business,Self,1.0,398346,4780152.0,390727.0,4714381.0,,,Repair/Renovation,Plot+Construction,4967557,3576641,0.72,1390916,Own Savings,6,10.33,66857,0.17,49698,No,,0.0,757.0,0,,,Third Party Valuer,Clear,Post-Sanction Only,Yes,Yes,18.0,NEFT to Seller,Yes,DSA/Chatterjee Associates,Bounced,31-60,Active,,CLEAN,0,,0,No,No,No,No,No,No,No,No,Yes,No,78,No,No,No,No,No,No,No
HL201704314,14-04-2017,09-05-2017,27-05-2017,Amit Kumar,26.0,Female,Married,3.0,FOIXM9157Y,7987 8977 6586,+91 9395213061,amit_kumar@gmail.com,Mumbai,Maharashtra,236760.0,Salaried,Coal India,5.0,159020,1908240.0,154427.0,1889015.0,1486092.0,No,Construction,Row House,14563202,11068033,0.76,3495169,Own Savings,5,11.5,243414,0.81,3784,Yes,Neha Bhatia,,690.0,0,HDFC Bank,1 DPD,Empanelled Valuer A,Clear,Yes,Yes,Yes,14.0,NEFT to Builder,Yes,DSA/Verma Associates,Paid,0,NPA,,CLEAN,0,,0,No,No,No,No,No,No,No,No,Yes,No,76,No,No,No,No,No,No,No
HL202402832,31-07-2024,08-08-2024,28-08-2024,Kishore Bose,36.0,Female,Single,4.0,OFGXT2025O,,+91 8243262384,pooja343@rediffmail.com,Pune,Maharashtra,350680.0,Salaried,Axis Bank,19.0,296315,3555780.0,266631.0,3229148.0,2974793.0,Yes,Repair/Renovation,Plot+Construction,13165465,8294242,0.63,4871223,Third Party,27,8.28,64141,0.22,2878,No,,0.0,777.0,2,IndusInd Bank,,Empanelled Valuer B,Clear,Post-Sanction Only,Not Applicable,No,10.0,NEFT to Seller,Yes,DSA/Srivastava Associates,Paid,0,NPA,,CLEAN,0,,1,No,No,No,No,No,No,No,No,Yes,No,82,No,No,No,No,No,No,No
HL201203620,13-08-2012,03-09-2012,09-09-2012,Poonam Yadav,54.0,Male,Single,1.0,HSJMP6052I,3913 6263 5154,+91 7688362114,poonamyadav@yahoo.com,Ludhiana,Punjab,462785.0,Self-Employed Business,Self,5.0,311369,3736428.0,298228.0,3763516.0,3523972.0,,Purchase,Plot+Construction,8246843,5937726,0.72,2309117,Own Savings,18,10.19,60095,0.19,14678,Yes,Deepak Joshi,271764.0,748.0,1,ICICI Bank,,Empanelled Valuer A,Clear,Yes,No,,20.0,NEFT to Builder,No,,Paid,0,Active,,CLEAN,0,,0,No,No,No,No,No,No,No,No,Yes,No,112,No,No,No,No,No,No,No
HL202103901,06-08-2021,01-09-2021,04-09-2021,Kiran Tripathi,26.0,Female,Single,1.0,ORCFS7835I,4971 2323 1001,,kiran.tripathi145@yahoo.com,Mumbai,Maharashtra,229677.0,Self-Employed Professional,Self,11.0,458322,,427384.0,5675931.0,5361804.0,,Extension,Independent House,19018036,12551903,0.66,6466133,Unknown,24,12.25,135399,0.3,42030,No,,0.0,696.0,3,IndusInd Bank,,Empanelled Valuer A,Minor Observations,Yes,Yes,Yes,21.0,NEFT to Builder,Yes,DSA/Bhatia Associates,Bounced,0,Closed,,CLEAN,0,,0,No,No,No,No,No,No,No,No,Yes,No,46,No,No,No,No,No,No,No
HL201803699,27-09-2018,12-10-2018,30-10-2018,Bharat Sinha,39.0,Male,Widowed,3.0,HYATP1094U,5044 1401 5196,+91 9978539793,bharat73@outlook.com,Lucknow,Uttar Pradesh,748921.0,Self-Employed Professional,Self,6.0,160443,1925316.0,142094.0,1769883.0,1841496.0,,Repair/Renovation,Independent House,17608924,10565354,0.6,7043570,Own Savings,12,11.05,132755,1.43,96914,No,,0.0,696.0,8,HDFC Bank,,Empanelled Valuer A,Minor Observations,Post-Sanction Only,No,Yes,26.0,NEFT to Builder,Yes,DSA/Goel Associates,Paid,1-30,NPA,,LOAN_STACKING,1,8 bureau enquiries in 30 days; high existing obligations,0,No,Yes,No,No,No,No,No,No,Yes,No,80,No,No,Yes,No,No,No,No
HL202306476,25-10-2023,24-11-2023,09-12-2023,Pooja Joshi,62.0,Male,Divorced,3.0,LILAO7508B,2081 5895 1036,+91 9528755788,pooja95@yahoo.com,Ghaziabad,Uttar Pradesh,188957.0,Salaried,ONGC,14.0,170965,2051580.0,175502.0,2003251.0,1957160.0,Yes,Extension,Row House,15770731,12458877,0.79,3311854,Own Savings,24,10.94,122562,0.72,3467,Yes,Deepak Roy,608100.0,723.0,1,BOB,1 DPD,Third Party Valuer,Clear,Yes,Not Applicable,No,29.0,Cheque,Yes,DSA/Mishra Associates,Paid,31-60,Active,,CLEAN,0,,0,No,No,No,No,No,No,No,No,Yes,No,40,No,No,No,No,No,No,No
HL200404190,18-02-2004,04-03-2004,10-03-2004,Sanjay Tripathi,48.0,Female,Married,2.0,,2881 6315 1696,+91 8536553142,,Vadodara,Gujarat,343854.0,Self-Employed Professional,Self,9.0,0,0.0,,4993018.0,4053995.0,,Purchase,Row House,19992627,15794175,0.79,4198452,Unknown,21,11.81,169835,0.4,435,No,,0.0,733.0,1,Yes Bank,,Third Party Valuer,Minor Observations,Yes,Yes,Yes,11.0,NEFT to Builder,No,,Bounced,0,Active,,CLEAN,0,,0,No,No,Yes,No,No,No,No,No,Yes,No,84,No,No,No,No,No,No,No
HL201204347,12-04-2012,30-04-2012,09-05-2012,Vijay Chatterjee,55.0,Male,Single,4.0,IUHDK1532F,9976 7095 6754,+91 7293079354,vijay.chatterjee@hotmail.com,Lucknow,Uttar Pradesh,414027.0,Self-Employed Business,Self,2.0,95983,1151796.0,97209.0,1062936.0,1050836.0,,Balance Transfer,Row House,21272340,13401574,0.63,7870766,Own Savings,9,12.02,203643,2.12,11914,Yes,Vijay Chauhan,774540.0,699.0,3,BOB,,Empanelled Valuer A,Minor Observations,Post-Sanction Only,Yes,,26.0,NEFT to Seller,Yes,DSA/Kumar Associates,Paid,31-60,Written Off,,CLEAN,0,,0,No,No,No,No,No,No,No,No,Yes,No,35,No,No,No,No,No,No,No
HL200809745,17-01-2008,13-02-2008,21-02-2008,Savita Sharma,28.0,Male,Married,4.0,EXGMN5279B,7918 2635 3532,+91 7972060182,,Coimbatore,Tamil Nadu,146305.0,Salaried,Cipla,7.0,285519,3426228.0,,3178839.0,3066627.0,,Balance Transfer,Flat/Apartment,16102334,11754703,0.73,4347631,Own Savings,21,8.79,102375,0.36,23027,Yes,Sunita Srivastava,,699.0,1,PNB,Written Off,Empanelled Valuer A,Conditional Clear,Post-Sanction Only,Yes,Yes,30.0,NEFT to Builder,No,,Paid,0,Closed,,CLEAN,0,,0,No,No,No,No,No,No,No,No,Yes,No,89,No,No,No,No,No,No,No
HL201005201,20-08-2010,29-08-2010,14-09-2010,Neha Reddy,61.0,Male,Married,3.0,EZVSF2931J,8176 9207 5713,+91 9412643752,neha31@rediffmail.com,Coimbatore,Tamil Nadu,260884.0,Salaried,L&T Construction,1.0,157424,1889088.0,146934.0,1881353.0,,No,Repair/Renovation,Row House,12390296,9044916,0.73,3345380,Own Savings,5,8.63,186137,1.18,15518,Yes,Rekha Goel,902772.0,718.0,4,Canara Bank,,Third Party Valuer,Conditional Clear,Yes,Yes,Yes,,Cheque,No,,Paid,0,NPA,,CLEAN,0,,0,Yes,No,No,No,No,No,No,No,Yes,No,87,No,No,No,No,No,No,No
HL201508893,30-05-2015,16-06-2015,22-06-2015,Manju Malhotra,31.0,Female,Married,3.0,UMQSD3005X,5320 8317 7558,+91 9993151156,manjumalhotra@gmail.com,Ghaziabad,Uttar Pradesh,422114.0,Self-Employed Business,Self,1.0,271644,3259728.0,272350.0,3399526.0,,,Repair/Renovation,Flat/Apartment,3141143,1916097,0.61,1225046,Sale of Asset,25,10.59,18214,0.07,38020,No,,0.0,773.0,5,SBI,,Third Party Valuer,Minor Observations,Yes,Yes,Yes,14.0,NEFT to Builder,Yes,DSA/Jain Associates,Paid,0,Written Off,,CLEAN,0,,0,No,No,No,No,No,No,No,No,Yes,No,93,No,No,No,No,No,No,No
HL200804339,15-09-2008,11-10-2008,24-10-2008,Savita Goel,48.0,Male,Single,2.0,QQKKH4502C,9887 1928 4313,+91 9028085977,savitagoel@hotmail.com,Chennai,Tamil Nadu,409461.0,Salaried,Dr Reddy's Labs,11.0,247877,2974524.0,232089.0,3138295.0,2507086.0,Yes,Purchase,Independent House,13193839,7916303,0.6,5277536,Own Savings,24,12.0,83943,0.34,6774,No,,,777.0,3,Kotak Bank,2+ DPD,Third Party Valuer,Clear,Post-Sanction Only,No,Yes,15.0,Cheque,No,,Paid,0,Restructured,,CLEAN,0,,0,No,No,No,No,No,No,No,No,Yes,No,46,No,No,No,No,No,No,No
